anime_id,title,genre,aired,episodes,members,score
915,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",2013,1,135232,8.95
916,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",2006,201,579150,8.97
917,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",2008,24,740101,8.97
918,Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",2012,13,166446,8.98
919,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",2015,12,1475219,8.68
920,Pokemon Advanced Generation,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",2002,192,110604,7.17
921,Haiyore! Nyaruko-san,"['Sci-Fi', 'Comedy', 'Parody']",2012,12,243705,7.16
922,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",1991,1,90551,7.16
923,First Squad: The Moment of Truth,"['Action', 'Historical', 'Military', 'Super Power', 'Supernatural']",2009,1,32975,6.05
924,Chuunibyou demo Koi ga Shitai! Ren Specials,['Comedy'],2014,7,38363,7.16
925,Bubblegum Crisis Tokyo 2040,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",1998,26,27258,7.16
926,Black Clover,"['Action', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",2017,170,1273316,8.1
927,Appleseed (Movie),"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",2004,1,60564,7.16
928,Baka to Test to Shoukanjuu: Matsuri,"['Comedy', 'School', 'Super Power']",2011,2,97019,7.7
929,Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",2013,1,99563,8.28
930,Momo e no Tegami,"['Supernatural', 'Drama']",2012,1,53786,7.68
931,Majin Tantei Nougami Neuro,"['Mystery', 'Comedy', 'Demons', 'Supernatural', 'Shounen']",2007,25,54978,7.68
932,Biohazard: Degeneration,"['Action', 'Horror', 'Sci-Fi']",2008,1,27237,7.12
933,Aishen Qiaokeli-ing...,"['Comedy', 'Harem', 'Romance', 'School']",2015,15,43012,7.12
934,Himegoto,"['Slice of Life', 'Comedy', 'Ecchi', 'School']",2014,13,78468,6.02
935,Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",2008,1,72331,8.06
936,Gedo Senki,"['Adventure', 'Fantasy', 'Magic']",2006,1,85145,7.07
